task,side,instr,lang,measure,model,value
Log Fault Diagnosis,naive Q&A,zero-shot,Chinese,F1-score,Gemini Pro,0.331
Log Fault Diagnosis,naive Q&A,zero-shot,Chinese,F1-score,Mistral-7B,0.418
Log Fault Diagnosis,naive Q&A,zero-shot,Chinese,F1-score,BaiChuan2-13B,0.069
Log Fault Diagnosis,naive Q&A,zero-shot,Chinese,F1-score,GhatGLM4,0.754
Log Fault Diagnosis,naive Q&A,zero-shot,Chinese,F1-score,Claude3 Sonnet,0.287
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,Qwen1.5-7B,0.315
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,Qwen1.5-14B,0.182
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,Qwen1.5-72B,0.194
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,LLaMa2-7B,0.354
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,LLaMa2-13B,0.38
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,LLaMa2-70B,0.23
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,DeVops-7B,0.281
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,DeVops-14B,0.288
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,InternLM2-7B,0.248
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,InternLM2-20B,0.342
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,AquilaChat-7B,0.313
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,GPT-3.5,0.278
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,GPT-4,0.424
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,Gemini Pro,0.32
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,Mistral-7B,0.248
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,BaiChuan2-13B,0
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,GhatGLM4,0.404
Log Fault Diagnosis,naive Q&A,zero-shot,English,accuracy,Claude3 Sonnet,0.442
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,Qwen1.5-7B,0.516
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,Qwen1.5-14B,0.561
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,Qwen1.5-72B,0.423
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,LLaMa2-7B,0.408
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,LLaMa2-13B,0.44
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,LLaMa2-70B,0.291
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,DeVops-7B,0.357
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,DeVops-14B,0.416
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,InternLM2-7B,0.284
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,InternLM2-20B,0.425
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,AquilaChat-7B,0.348
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,GPT-3.5,0.336
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,GPT-4,0.453
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,Gemini Pro,0.298
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,Mistral-7B,0.284
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,BaiChuan2-13B,0
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,GhatGLM4,0.708
Log Fault Diagnosis,naive Q&A,zero-shot,English,F1-score,Claude3 Sonnet,0.422
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-7B,0.591
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-14B,0.415
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-72B,0.869
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-7B,0.013
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-13B,0.015
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-70B,0.08
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,DeVops-7B,0.28
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,DeVops-14B,0.343
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,InternLM2-7B,0.485
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,InternLM2-20B,0.592
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,AquilaChat-7B,0.039
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,GPT-3.5,0.882
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,GPT-4,0.887
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,Gemini Pro,0.874
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,Mistral-7B,0.765
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,BaiChuan2-13B,0.03
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,GhatGLM4,0.678
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,accuracy,Claude3 Sonnet,0.536
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,Qwen1.5-7B,0.651
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,Qwen1.5-14B,0.615
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,Qwen1.5-72B,0.899
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,LLaMa2-7B,0.025
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,LLaMa2-13B,0.029
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,LLaMa2-70B,0.144
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,DeVops-7B,0.617
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,DeVops-14B,0.736
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,InternLM2-7B,0.761
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,InternLM2-20B,0.762
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,AquilaChat-7B,0.071
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,GPT-3.5,0.923
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,GPT-4,0.931
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,Gemini Pro,0.61
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,Mistral-7B,0.506
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,BaiChuan2-13B,0
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,GhatGLM4,0.793
Log Fault Diagnosis,naive Q&A,few-shot,Chinese,F1-score,Claude3 Sonnet,0.366
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,Qwen1.5-7B,0.452
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,Qwen1.5-14B,0.576
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,Qwen1.5-72B,0.798
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,LLaMa2-7B,0.066
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,LLaMa2-13B,0.107
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,LLaMa2-70B,0.511
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,DeVops-7B,0.361
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,DeVops-14B,0.687
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,InternLM2-7B,0.383
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,InternLM2-20B,0.626
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,AquilaChat-7B,0.219
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,GPT-3.5,0.852
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,GPT-4,0.929
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,Gemini Pro,0.784
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,Mistral-7B,0.598
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,BaiChuan2-13B,0
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,GhatGLM4,0.751
Log Fault Diagnosis,naive Q&A,few-shot,English,accuracy,Claude3 Sonnet,0.8
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,Qwen1.5-7B,0.505
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,Qwen1.5-14B,0.631
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,Qwen1.5-72B,0.84
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,LLaMa2-7B,0.115
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,LLaMa2-13B,0.179
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,LLaMa2-70B,0.635
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,DeVops-7B,0.629
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,DeVops-14B,0.733
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,InternLM2-7B,0.669
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,InternLM2-20B,0.721
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,AquilaChat-7B,0.295
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,GPT-3.5,0.916
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,GPT-4,0.956
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,Gemini Pro,0.701
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,Mistral-7B,0.491
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,BaiChuan2-13B,0
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,GhatGLM4,0.785
Log Fault Diagnosis,naive Q&A,few-shot,English,F1-score,Claude3 Sonnet,0.7
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-7B,0.355
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-14B,0.275
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-72B,0.31
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-7B,0.4
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-13B,0.41
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-70B,0.5
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,DeVops-7B,0.725
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,DeVops-14B,0.82
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,InternLM2-7B,37
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,InternLM2-20B,0.385
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,AquilaChat-7B,0.355
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,GPT-3.5,0.395
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,GPT-4,0.345
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,Gemini Pro,0.34
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,Mistral-7B,0.37
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,BaiChuan2-13B,0.195
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,GhatGLM4,0.275
Log Summary,naive Q&A,zero-shot,Chinese,accuracy,Claude3 Sonnet,0.32
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,Qwen1.5-7B,0.397
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,Qwen1.5-14B,0.305
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,Qwen1.5-72B,0.362
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,LLaMa2-7B,0.447
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,LLaMa2-13B,0.439
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,LLaMa2-70B,0.537
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,DeVops-7B,0.763
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,DeVops-14B,0.864
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,InternLM2-7B,0.393
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,InternLM2-20B,0.423
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,AquilaChat-7B,0.382
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,GPT-3.5,0.427
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,GPT-4,0.384
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,Gemini Pro,0.372
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,Mistral-7B,0.402
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,BaiChuan2-13B,0.008
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,GhatGLM4,0.308
Log Summary,naive Q&A,zero-shot,Chinese,F1-score,Claude3 Sonnet,0.358
Log Summary,naive Q&A,zero-shot,English,accuracy,Qwen1.5-7B,0.405
Log Summary,naive Q&A,zero-shot,English,accuracy,Qwen1.5-14B,0.355
Log Summary,naive Q&A,zero-shot,English,accuracy,Qwen1.5-72B,0.52
Log Summary,naive Q&A,zero-shot,English,accuracy,LLaMa2-7B,0.4
Log Summary,naive Q&A,zero-shot,English,accuracy,LLaMa2-13B,0.29
Log Summary,naive Q&A,zero-shot,English,accuracy,LLaMa2-70B,0.31
Log Summary,naive Q&A,zero-shot,English,accuracy,DeVops-7B,0.71
Log Summary,naive Q&A,zero-shot,English,accuracy,DeVops-14B,0.795
Log Summary,naive Q&A,zero-shot,English,accuracy,InternLM2-7B,0.465
Log Summary,naive Q&A,zero-shot,English,accuracy,InternLM2-20B,0.515
Log Summary,naive Q&A,zero-shot,English,accuracy,AquilaChat-7B,0.505
Log Summary,naive Q&A,zero-shot,English,accuracy,GPT-3.5,0.545
Log Summary,naive Q&A,zero-shot,English,accuracy,GPT-4,0.515
Log Summary,naive Q&A,zero-shot,English,accuracy,Gemini Pro,0.575
Log Summary,naive Q&A,zero-shot,English,accuracy,Mistral-7B,0.565
Log Summary,naive Q&A,zero-shot,English,accuracy,BaiChuan2-13B,0.285
Log Summary,naive Q&A,zero-shot,English,accuracy,GhatGLM4,0.435
Log Summary,naive Q&A,zero-shot,English,accuracy,Claude3 Sonnet,0.85
Log Summary,naive Q&A,zero-shot,English,F1-score,Qwen1.5-7B,0.456
Log Summary,naive Q&A,zero-shot,English,F1-score,Qwen1.5-14B,0.378
Log Summary,naive Q&A,zero-shot,English,F1-score,Qwen1.5-72B,0.567
Log Summary,naive Q&A,zero-shot,English,F1-score,LLaMa2-7B,0.448
Log Summary,naive Q&A,zero-shot,English,F1-score,LLaMa2-13B,0.327
Log Summary,naive Q&A,zero-shot,English,F1-score,LLaMa2-70B,0.368
Log Summary,naive Q&A,zero-shot,English,F1-score,DeVops-7B,0.756
Log Summary,naive Q&A,zero-shot,English,F1-score,DeVops-14B,0.831
Log Summary,naive Q&A,zero-shot,English,F1-score,InternLM2-7B,0.498
Log Summary,naive Q&A,zero-shot,English,F1-score,InternLM2-20B,0.565
Log Summary,naive Q&A,zero-shot,English,F1-score,AquilaChat-7B,0.539
Log Summary,naive Q&A,zero-shot,English,F1-score,GPT-3.5,0.585
Log Summary,naive Q&A,zero-shot,English,F1-score,GPT-4,0.572
Log Summary,naive Q&A,zero-shot,English,F1-score,Gemini Pro,0.611
Log Summary,naive Q&A,zero-shot,English,F1-score,Mistral-7B,0.612
Log Summary,naive Q&A,zero-shot,English,F1-score,BaiChuan2-13B,0.329
Log Summary,naive Q&A,zero-shot,English,F1-score,GhatGLM4,0.482
Log Summary,naive Q&A,zero-shot,English,F1-score,Claude3 Sonnet,0.903
Log Summary,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-7B,0.27
Log Summary,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-14B,0.75
Log Summary,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-72B,0.945
Log Summary,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-7B,0.18
Log Summary,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-13B,0.125
Log Summary,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-70B,0.485
Log Summary,naive Q&A,few-shot,Chinese,accuracy,DeVops-7B,0.82
Log Summary,naive Q&A,few-shot,Chinese,accuracy,DeVops-14B,0.84
Log Summary,naive Q&A,few-shot,Chinese,accuracy,InternLM2-7B,0.635
Log Summary,naive Q&A,few-shot,Chinese,accuracy,InternLM2-20B,0.765
Log Summary,naive Q&A,few-shot,Chinese,accuracy,AquilaChat-7B,0.14
Log Summary,naive Q&A,few-shot,Chinese,accuracy,GPT-3.5,0.399
Log Summary,naive Q&A,few-shot,Chinese,accuracy,GPT-4,0.546
Log Summary,naive Q&A,few-shot,Chinese,accuracy,Gemini Pro,0.606
Log Summary,naive Q&A,few-shot,Chinese,accuracy,Mistral-7B,0.795
Log Summary,naive Q&A,few-shot,Chinese,accuracy,BaiChuan2-13B,0.34
Log Summary,naive Q&A,few-shot,Chinese,accuracy,GhatGLM4,0.605
Log Summary,naive Q&A,few-shot,Chinese,accuracy,Claude3 Sonnet,0.465
Log Summary,naive Q&A,few-shot,Chinese,F1-score,Qwen1.5-7B,0.302
Log Summary,naive Q&A,few-shot,Chinese,F1-score,Qwen1.5-14B,0.802
Log Summary,naive Q&A,few-shot,Chinese,F1-score,Qwen1.5-72B,0.975
Log Summary,naive Q&A,few-shot,Chinese,F1-score,LLaMa2-7B,0.221
Log Summary,naive Q&A,few-shot,Chinese,F1-score,LLaMa2-13B,0.153
Log Summary,naive Q&A,few-shot,Chinese,F1-score,LLaMa2-70B,0.517
Log Summary,naive Q&A,few-shot,Chinese,F1-score,DeVops-7B,0.872
Log Summary,naive Q&A,few-shot,Chinese,F1-score,DeVops-14B,0.901
Log Summary,naive Q&A,few-shot,Chinese,F1-score,InternLM2-7B,0.669
Log Summary,naive Q&A,few-shot,Chinese,F1-score,InternLM2-20B,0.796
Log Summary,naive Q&A,few-shot,Chinese,F1-score,AquilaChat-7B,0.163
Log Summary,naive Q&A,few-shot,Chinese,F1-score,GPT-3.5,0.438
Log Summary,naive Q&A,few-shot,Chinese,F1-score,GPT-4,0.603
Log Summary,naive Q&A,few-shot,Chinese,F1-score,Gemini Pro,0.647
Log Summary,naive Q&A,few-shot,Chinese,F1-score,Mistral-7B,0.827
Log Summary,naive Q&A,few-shot,Chinese,F1-score,BaiChuan2-13B,0.385
Log Summary,naive Q&A,few-shot,Chinese,F1-score,GhatGLM4,0.633
Log Summary,naive Q&A,few-shot,Chinese,F1-score,Claude3 Sonnet,0.493
Log Summary,naive Q&A,few-shot,English,accuracy,Qwen1.5-7B,0.31
Log Summary,naive Q&A,few-shot,English,accuracy,Qwen1.5-14B,0.6
Log Summary,naive Q&A,few-shot,English,accuracy,Qwen1.5-72B,0.62
Log Summary,naive Q&A,few-shot,English,accuracy,LLaMa2-7B,0.23
Log Summary,naive Q&A,few-shot,English,accuracy,LLaMa2-13B,0.255
Log Summary,naive Q&A,few-shot,English,accuracy,LLaMa2-70B,0.335
Log Summary,naive Q&A,few-shot,English,accuracy,DeVops-7B,0.805
Log Summary,naive Q&A,few-shot,English,accuracy,DeVops-14B,0.856
Log Summary,naive Q&A,few-shot,English,accuracy,InternLM2-7B,0.695
Log Summary,naive Q&A,few-shot,English,accuracy,InternLM2-20B,0.81
Log Summary,naive Q&A,few-shot,English,accuracy,AquilaChat-7B,0.245
Log Summary,naive Q&A,few-shot,English,accuracy,GPT-3.5,0.493
Log Summary,naive Q&A,few-shot,English,accuracy,GPT-4,0.541
Log Summary,naive Q&A,few-shot,English,accuracy,Gemini Pro,0.85
Log Summary,naive Q&A,few-shot,English,accuracy,Mistral-7B,0.8
Log Summary,naive Q&A,few-shot,English,accuracy,BaiChuan2-13B,0.495
Log Summary,naive Q&A,few-shot,English,accuracy,GhatGLM4,0.515
Log Summary,naive Q&A,few-shot,English,accuracy,Claude3 Sonnet,0.585
Log Summary,naive Q&A,few-shot,English,F1-score,Qwen1.5-7B,0.342
Log Summary,naive Q&A,few-shot,English,F1-score,Qwen1.5-14B,0.635
Log Summary,naive Q&A,few-shot,English,F1-score,Qwen1.5-72B,0.658
Log Summary,naive Q&A,few-shot,English,F1-score,LLaMa2-7B,0.258
Log Summary,naive Q&A,few-shot,English,F1-score,LLaMa2-13B,0.282
Log Summary,naive Q&A,few-shot,English,F1-score,LLaMa2-70B,0.375
Log Summary,naive Q&A,few-shot,English,F1-score,DeVops-7B,0.854
Log Summary,naive Q&A,few-shot,English,F1-score,DeVops-14B,0.887
Log Summary,naive Q&A,few-shot,English,F1-score,InternLM2-7B,0.726
Log Summary,naive Q&A,few-shot,English,F1-score,InternLM2-20B,0.841
Log Summary,naive Q&A,few-shot,English,F1-score,AquilaChat-7B,0.271
Log Summary,naive Q&A,few-shot,English,F1-score,GPT-3.5,0.521
Log Summary,naive Q&A,few-shot,English,F1-score,GPT-4,0.593
Log Summary,naive Q&A,few-shot,English,F1-score,Gemini Pro,0.882
Log Summary,naive Q&A,few-shot,English,F1-score,Mistral-7B,0.847
Log Summary,naive Q&A,few-shot,English,F1-score,BaiChuan2-13B,0.521
Log Summary,naive Q&A,few-shot,English,F1-score,GhatGLM4,0.547
Log Summary,naive Q&A,few-shot,English,F1-score,Claude3 Sonnet,0.625
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,Qwen1.5-7B,0.587
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,Qwen1.5-14B,0.38
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,Qwen1.5-72B,0.342
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,LLaMa2-7B,0.114
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,LLaMa2-13B,0.336
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,LLaMa2-70B,0.478
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,DeVops-7B,0.106
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,DeVops-14B,0.171
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,InternLM2-7B,0.392
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,InternLM2-20B,0.368
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,AquilaChat-7B,0.128
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,GPT-3.5,0.246
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,GPT-4,0.33
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,Gemini Pro,0.557
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,Mistral-7B,0.63
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,BaiChuan2-13B,0.838
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,GhatGLM4,0.521
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,accuracy,Claude3 Sonnet,0.347
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,Qwen1.5-7B,0.148
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,Qwen1.5-14B,0.103
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,Qwen1.5-72B,0.098
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,LLaMa2-7B,0.005
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,LLaMa2-13B,0.05
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,LLaMa2-70B,0.029
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,DeVops-7B,0.039
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,DeVops-14B,0.043
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,InternLM2-7B,0.089
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,InternLM2-20B,0.083
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,AquilaChat-7B,0.035
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,GPT-3.5,0.084
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,GPT-4,0.096
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,Gemini Pro,0.139
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,Mistral-7B,0.162
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,BaiChuan2-13B,0.232
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,GhatGLM4,0.128
Log Anomaly Detection,SC Q&A,zero-shot,Chinese,F1-score,Claude3 Sonnet,0.099
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,Qwen1.5-7B,0.055
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,Qwen1.5-14B,0.248
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,Qwen1.5-72B,0.264
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,LLaMa2-7B,0.944
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,LLaMa2-13B,0.658
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,LLaMa2-70B,0.692
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,DeVops-7B,0.213
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,DeVops-14B,0.154
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,InternLM2-7B,0.338
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,InternLM2-20B,0.334
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,AquilaChat-7B,0.644
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,GPT-3.5,0.27
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,GPT-4,0.332
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,Gemini Pro,0.414
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,Mistral-7B,0.423
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,BaiChuan2-13B,0.522
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,GhatGLM4,0.366
Log Anomaly Detection,SC Q&A,zero-shot,English,accuracy,Claude3 Sonnet,0.354
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,Qwen1.5-7B,0.11
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,Qwen1.5-14B,0.037
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,Qwen1.5-72B,0.067
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,LLaMa2-7B,0.103
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,LLaMa2-13B,0.121
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,LLaMa2-70B,0.043
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,DeVops-7B,0.03
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,DeVops-14B,0.025
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,InternLM2-7B,0.089
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,InternLM2-20B,0.076
Log Anomaly Detection,SC Q&A,zero-shot,English,F1-score,AquilaChat-7B,0.035
